isapre,mujer,ingresos,ocupado
NA,1,324.286,0
0,1,190.263,0
NA,1,402.167,0
0,1,680.417,1
0,1,351.25,1
0,0,140.351,1
0,0,231.667,1
0,1,344.035,1
0,1,444.167,1
0,0,750.017,1
1,0,1133.333,1
1,1,1368.27,1
1,0,770.25,1
1,0,1120.351,1
1,0,1570.833,1
0,0,341.667,1
1,1,566.667,1
1,0,883.333,0
1,0,675,1
1,1,921.962,0
NA,0,0,1
NA,0,625,0
0,0,169.11,0
1,0,1001.563,1
0,1,718.333,1
NA,0,331,0
0,0,423.263,0
0,1,888.86,1
1,1,657.5,1
0,1,1187.5,1
1,0,711.754,1
NA,0,248,1
0,1,1510.834,1
0,0,861.294,1
0,1,804,0
0,0,145,1
0,1,150.662,1
0,1,320,0
NA,0,369.333,0
0,1,161.167,1
0,0,934.167,1
0,0,144.444,1
1,1,650.521,1
0,1,444.43,0
NA,0,602.222,1
0,0,923.333,0
0,1,174.177,1
1,0,534.725,1
0,0,573.423,1
0,1,353.456,1
0,1,255.087,1
0,1,351.283,1
1,1,564.444,1
0,0,400,1
1,0,589.491,1
1,1,1153.333,1
NA,0,366.167,0
1,0,1062.5,1
0,1,233.75,1
0,0,160,1
0,0,342.517,1
0,1,217.143,0
0,0,166.659,1
0,1,230.38,1
0,1,188.259,1
0,1,213.333,0
NA,0,600,1
0,1,863.25,1
0,1,439.93,0
1,0,1100,1
0,0,457.197,1
0,1,248.083,1
0,0,666.667,1
0,1,175,0
0,1,420.221,1
NA,0,600,1
NA,0,370,1
0,0,403.737,1
1,0,1875,0
0,0,266.331,0
0,0,2601.25,1
1,1,500,1
1,1,1427.5,1
0,0,690,0
1,1,3054.166,1
1,0,392.867,1
1,0,9695.834,1
1,1,2157.323,1
1,1,1834.333,0
0,0,375,1
1,0,810.694,1
NA,0,100,0
NA,0,734.444,1
NA,1,1282.21,1
0,1,352.455,1
NA,1,863.333,1
0,0,131.25,0
1,1,420.417,1
0,1,837,0
0,1,0,0
0,0,193.704,1
1,1,320.351,0
0,1,219.604,0
0,0,174.015,1
0,0,131.25,1
1,0,387.222,1
0,1,131.485,0
1,1,640,0
1,0,360.494,1
1,0,1452.333,1
0,0,410,1
NA,0,401.806,1
1,0,857.222,1
1,0,885,0
NA,0,965.278,1
1,0,800,1
0,1,183.333,0
0,0,277.334,1
0,0,450,1
0,0,305.317,0
0,0,425,0
NA,1,3.5,0
0,0,210,0
0,1,605.48,0
0,0,866.667,0
0,1,388.945,1
0,1,668,0
0,1,180.055,0
0,1,264.531,1
0,1,260.255,1
0,0,352.412,1
0,1,202.113,1
0,0,130,1
0,1,156.047,1
0,1,208.333,0
0,0,368.338,1
0,1,376,1
0,1,206.551,1
0,0,550,1
0,0,511.76,1
NA,0,400,0
0,0,1006.333,0
0,1,359.093,0
0,1,484.167,0
1,1,504.167,1
